MessageID,DateSent,Region,MessageType,AudienceSegment,OpenRate,ClickThroughRate,ConversionRate,SubjectLine,Purpose
101,2023-09-01,North,Email,"Premium Users",65,20,5,"Exclusive Offer Inside",Promotion
102,2023-09-03,South,SMS,"New Users",75,15,3,"Welcome to COPEL!",Onboarding
103,2023-09-05,East,Email,"All Users",55,10,2,"Monthly Newsletter",Update
104,2023-09-10,West,Push,"Active Users",80,25,7,"New Features Released",Announcement
105,2023-09-15,North,Email,"Inactive Users",45,5,1,"We Miss You!",Retention
106,2023-09-20,South,SMS,"All Users",70,18,4,"Update Your Preferences",Survey
107,2023-09-25,East,Email,"Premium Users",60,22,6,"Premium Perks Await",Promotion
108,2023-09-30,West,Push,"Basic Users",50,12,3,"Upgrade Today",Upsell
109,2023-10-05,North,Email,"Standard Users",65,15,4,"Your Account Summary",Update
110,2023-10-10,South,SMS,"All Users",85,30,8,"Flash Sale Now On!",Promotion
